question,answer
Are there any Banking Alerts that I can subscribe for?,"Yes, you can subscribe for any one or all the following:
Click here for more information on ICICI Bank Mobile Banking Alerts.
A/c getting debited
A/c getting credited
Cheque bounce
Salary credit
"
What are the ICICI relationships that I can view/enable online?,"Currently you can enable the following ICICI Bank relationships online:
If you have more than one bank account or other products, you can link all of them to one Internet Banking User ID.
Bank a/c (including Current A/c for individuals)
Credit card
Demat
"
What is ICICI Bank Bill Payment?,"This is a facility to make online payment of your bills like Telephone, Electricity, Mobile, Insurance etc. We have a tie-up with more than 50 billers to help you pay your bills online.
You need to have any of the following:
ICICI Bank A/c
ICICI Bank Credit Card (Select Billers only)
"
What all can I do if my Demat relationship is linked?,"You will be able to do the following:
View your Holding Statement.
View your Transaction Statement.
Check the status of requests placed, iz. Demat Request, Transfer Instruction & Pledge Request.
Check your personal details as in our record.
Check the ISIN of securities.
Check the settlement details like pay-in and pay-out dates of a settlement.
Check your ledger balance.
Request for a Transfer Instruction Booklet.
Details of Bills.
e-Instructions
"
Can I make a part payment for a bill?,"Part payment can be made only for Billers who are in Payment mode.
"
What are the different Banking service requests that I can make online?,"You can make the following requests online:
Apply for a Credit Card
Apply for a Debit Card
Order a new cheque book
Stop cheque request
Cheque status inquiry
Intimation for loss of ATM Card
Open Fixed Deposit
Open a Recurring Deposit
Apply for a Value Added Savings Account
Apply for Phone Banking
"
Do I have to fill in a separate registration form for ICICI Bank Bill Payment?,"No, you don't have to fill in any registration forms for this service. It is available to all the ICICI Bank account and ICICI Bank Credit Card holders.
You need to have ICICI Bank Internet Banking User ID and Password.
All you need to do is register online, the particular Biller, to whom you wish to make a payment.
"
How do I register a new biller in Internet Banking?,"To register a biller, please follow the below mentioned steps:
Login to Internet Banking with your User ID and Password > Payments & Transfer > Manage Billers > Select the Biller you wish to register for and click 'Add to List'. You will see a screen that asks you for certain details, fill in the details and click 'Add to List'. A message is generated saying 'Addition to Personal Payee List Successful'.
Once you give an OK to this message the Biller is added to your list.

"
How can I view the status of payments?,"For viewing the status of payments made, you can go to ""Show Payments made"" option and view the payments. The number of payments with status as ""Pending"" can be seen on the Bill Pay home page itself.
"
How to pay bill,"Follow these simple steps to pay all your utility bills like Telephone, Electricity, Credit Card, Gas, Insurance etc..
Login > Payments & Transfer > Pay Bills > Select bill category > Enter details > Make payment
To know more about online bill payments, please click here.
"
How do I delete a Registered Biller in Internet Banking?,"To delete a biller on Internet Banking, please follow the below steps:
• Login to your Internet Banking Account• Go to 'Payments & Transfer'• Click the link 'Manage Billers'• Select 'My Registered Billers'• Select the biller and you can delete the biller by clicking on the 'Remove Biller' option.
For billers who are in presentment mode, you will not be able to delete the biller if your bills are in 'Pending', 'Waiting for acceptance' or 'Rejected' status.
"
How can I get the receipt for payments made ?,"Login to Internet Banking, click on Payments & Transfer > Transaction Status > Completed Transactions to see all your past payments. You may use the printouts as proof.
Notes:
All transactions through different channels such as Internet Banking, Payment Gateway Channels (payment made at merchant site via Internet Banking) will be displayed on this page.
Transaction details available online for the last 1 year.
"
How can I stop my scheduled payment?,"You may stop a scheduled payment for bills in ‘Pending’ status by following the below mentioned steps:
Login to Internet Banking
Click on bills which are under ‘Pending’ status
Click on ‘Details’→ ‘Delete’.
"
What are the different biller categories?,"There are 3 categories of billers available:Presentment type: For these billers the bills are presented on www.icicibank.com and you can login and view your bill online. Once you register for a presentment type biller your details are sent to the biller and whenever your bill is generated (which would be the next billing cycle from your registration date), it is presented on www.icicibank.com from you to make the payment.Payments to such billers cannot be made immediately after registering for them, it usually takes 3-4 weeks after the date of registration for your bill to be presented online.Payment type: For these billers you can make the payments immediately after registering for them. The bills for these billers are not presented online and you can choose to pay any amount as desired by you.Hot payment type: For these billers you need to go to their web site for making the payments. These bills cannot be paid by logging on to www.icicibank.com.
You will continue to receive bills in the physical form, from the Biller in the same manner as received by you currently.
Shopping Mall type: For these billers you will have to go to the Shops (Biller) web site for making the payments. These bills cannot be paid by first logging on to www.icicibank.com.
"
When will I know that the a bill has been paid?,"After successfully submitting your payment, you can check the status of your payment in 'Completed Transactions'.Login to Internet Banking > Payments & Transfer > Transaction Status > Completed Transactions.
"
How do I make a payment to a registered biller?,"Payment to Billers in ""Payment"" modeSTEP I: Click on ""Make a payment"" option.STEP II: Select the biller for which the payment has to be made.STEP III: Click on ""Pay"" and enter details as required by the biller.STEP IV: Click on ""Pay""STEP V: Confirm the transaction by entering your 'transaction password'. The status of your bill payment will appear as ""Scheduled for Payment"" in the bill pay home page.
Payment for Billers in ""Presentment"" mode
For billers in presentment mode, your registration details are sent to the biller. Subsequently whenever the bill is generated by the biller, it is uploaded on www.icicibank.com.STEP I: The status of the bill will be shown as ""Waiting for Acceptance"" in the bill pay home page.STEP II: Select the bill and click on ""Details"".STEP III: The bill with the necessary details will be displayed. Enter the date on which you want to pay the bill and click on ""Pay"".The status of the bill where previously it was showing ""Waiting for acceptance"" will change as ""Pending"".(NOTE: You can schedule the payment on such bills only on or before the due date specified otherwise the bill will get defaulted. You cannot make payments to the bills with defaulted status.)
"
When will the payments be processed?,"All the payments will be processed and the accounts will be debited on the Scheduled Date. In case of holiday the account will be debited the next working day.
"
Do I have to register separately for ICICIBank.com Bill Pay?,"No, you don't have to register for this service. It is available to all the ICICI Bank account holders and ICICI Bank Credit Card holders. You require to login to ICICIBank.com with your Internet Banking User ID and Password to register your bills.
"
Which billers are available for online bill payment?,"You can find billers including electricity, gas, landline and mobile phone billers and many more. Just select your state to view the complete list of billers:
List of All Billers on Internet Banking:
Visit our website www.icicibank.com > Personal > Payments > Bill Pay > List of all Billers on Internet Banking.
List of All Billers on Mobile Banking:
Visit our website www.icicibank.com > Personal > Payments > Bill Pay > List of all Billers on Mobile Banking.
"
"How do I pay the bill that has the status ""waiting for acceptance""?","For all the bills with status ""waiting for acceptance"", STEP I: Select the bill showing the status as ""waiting for acceptance"" and click on ""Details"". STEP II: The bill with the necessary details will be displayed. Enter the date on which you want to pay the bill and click on ""Pay"".(NOTE: You can schedule these only on or before the due date specified otherwise the bill will get defaulted. You can not make payments to the bills with defaulted status. All bills in ""waiting for acceptance"" status need to be accepted before the due date only. The bills in ""waiting for acceptance"" status cannot be accepted on due date or after due date.)
"
When can I see the bills for presentment type of billers?,"The bills for the presentment type of biller can be seen from the next billing cycle from the date of your registration.
"
I am not able to see the name of my registered biller in 'Make a Payment' option.,"Billers of presentment types would not be found in the ""Make a Payment"" option. You can see such billers in ""Your Registered Billers"".
"
Can I do part payment?,"Part payment is possible only for billers in Payment mode.
"
"If I register for presentment type biller, will I still receive my bill in paper form?","Yes.
"
"When making a payment, what should be entered in service type for BSNL landline payment through Quick Pay?","We request you to select the below mentioned Service type details while making BSNL landline payment through Quick Pay.
Service type:1. LLI-Individual Customer2. LLC-Corporate Customer
For more details, please refer to the below mentioned link:https://www.billdesk.com/pgidsk/pgmerc/ICICI_QuickPay/BSNLINSTA_quickpay_details.jsp
"
Can I change the scheduled date of payments once scheduled?,"Yes you can change the schedule date.STEP I: Select the bill for which the scheduled date is to be changed. STEP II: Click on ""Details"" there you can change the scheduled date and click on ""Update"".
"
How do I make a payment through “Click To Pay – Debit Card”?,"You can make an online payment through your Debit Card in the following 4 simple steps:
Browse the ICICI Bank website and click on the “Click To Pay – Debit Card” link.
Select your card type, i.e. ICICI Bank Debit Card or non-ICICI Bank Debit Card (VISA) etc.
Type your loan number and validate.
Validate your Debit Card on Payment Gateway and make your overdue payments instantly.
"
What is Click to Pay?,"If you wish to make a payment online through your Non-ICICI Bank Savings Account to your ICICI Bank Credit Card or ICICI Bank Loan Payments, you can use the 'Click to Pay' option available on our website.
You can make the payment using Internet Banking or debit card of other bank towards ICICI Bank Credit Card or Loan outstanding.
To know more about Click to Pay and the procedure for making payment, please visit www.icicibank.com > Internet Banking (at the bottom of the page) > Services Offered > More > Click to Pay.
"
What is “Click To Pay – Debit Card” service?,"“Click To Pay – Debit Card” is an extremely simple and secure way of making your overdue ICICI Bank loan payments online through your bank's Debit Card.
"
Can I make a payment more than the Total Amount Due as shown in the statement?,"You can make a payment less than or equal to the Total Amount Due, displayed on the screen. Any credit balance due to excess payment cannot reversed. You can utilize the same by doing transactions using your card.
"
Is “Click To Pay – Debit Card” secure?,"Yes, it is secure through 128 bits SSL.
"
How are payments processed?,"Your payments are processed immediately after you have authorised the transaction from your Debit Card. If your payment is successful, you will be informed that your payment has been accepted and a payment transaction number will be displayed with a successful transaction note.If your payment is unsuccessful, you will be informed that your transaction was unsuccessful.
"
How will I know that the payment is made successfully?,"Post every successful transaction; you will get a success message along with a valid transaction ID. However, sometimes the transaction is successful but a transaction number cannot be displayed due to power cuts, connection failures, etc., In such cases you are advised to check your bank account credit balance to know whether the transaction has happened. You should report about it to ICICI Bank if your loan number is not credited within 3 working days from the date of the actual transaction.
"
Is there any limit on the size of a payment I can make?,"Yes, it should be less than or equal to the Amount Payable displayed on the transaction screen.
"
What if the payment is not credited even after three days?,"Please contact our 24-hour Customer Care and register a complaint after providing all the transaction details
"
Do I need to register with ICICI Bank for “Click To Pay – Debit Card” to make payments?,"No.
"
Who can make a payment using “Click To Pay – Debit Card” service?,"Only ICICI Bank loan, card customers who have missed their regular EMI/PEMI and their asset is neither surrendered by them nor repossessed by ICICI Bank due to any reason, can make a payment using the “Click To Pay – Debit Card” service.
"
Can I make a payment when I am outside India?,"You can make payments from anywhere in the world, provided you have an Indian (domestic) Debit Card.
"
How can I access the information that I have made the payments?,"Any payments made will be reflected in your loan account statement within 3 working days.
"
Is there any charge for using “Click To Pay – Debit Card”?,"No.
"
When can I check my ICICI Bank Credit Card statement statement to know my payment status?,"Last Credit Received on
Last Credit Amount (INR)
Payment due date
Next statement date
"
What are the benefits of “Click To Pay – Debit Card”?,"Your overdue payments are made quickly and conveniently. You no longer have to write cheques, visit a branch and wait in a queue for your turn, to make payments.
"
What if I made an excess payment in two different transactions for the same card number?,"Any credit balance due to excess payment cannot reversed. You can utilize the same by doing transactions using your card.
"
Can I make overdue payments towards someone else’s Credit Card?,"Yes, you can make overdue payments against a particular Credit Card on behalf of your family members and friends from your Debit Card.
"
How can I prove that I have made a payment?,"You can track your payments from your bank statement if you need to provide proof of payment. Your bank statement will show the charge to your account from the billing vendor, with a transaction number similar to the “Click To Pay – Debit Card” transaction number.In addition to the above, you will get a valid transaction number post your successful transaction. This can be used to track and resolve your queries and disputes.
"
Do I need to take permission from my bank for making a payment through “Click To Pay – Debit Card”?,"No, you need not take permission if you have a valid card type which is accepted by us i.e. (VISA).
"
Will I receive any physical bill for “Click To Pay – Debit Card” payments?,"You will get a transaction number on the screen online upon successful completion of your transaction. You may write it down on a paper or take its printout.
"
What if I make an not-error while entering my card number and make a payment to somebody else’s card?,"There are certain checks available to avoid payment against wrong cards. These checks are as follows:
Even if you have made a payment to a wrong card number, you need to call our 24-hour Customer Care and register a complaint. You will be guided accordingly.
The card number needs to be 15/16-digit numeric character in nature.
The card number needs to be entered twice.
Once the card number is entered, the Minimum and the Total Amount Due along with your due date will be displayed and you can validate through it.
"
How do I make a payment through “Click To Pay – Debit Card”?,"You can make an online payment through your Debit Card in the following 4 simple steps:
Browse the ICICI Bank website and click on the “Click To Pay – Debit Card” link.
Select your card type, i.e. ICICI Bank Debit Card or non-ICICI Bank Debit Card (VISA) etc.
Type your loan number and validate.
Validate your Debit Card on Payment Gateway and make your overdue payments instantly.
"
What is Click to Pay?,"If you wish to make a payment online through your Non-ICICI Bank Savings Account to your ICICI Bank Credit Card or ICICI Bank Loan Payments, you can use the 'Click to Pay' option available on our website.
You can make the payment using Internet Banking or debit card of other bank towards ICICI Bank Credit Card or Loan outstanding.
To know more about Click to Pay and the procedure for making payment, please visit www.icicibank.com > Internet Banking (at the bottom of the page) > Services Offered > More > Click to Pay.
"
What is “Click To Pay – Debit Card” service?,"“Click To Pay – Debit Card” is an extremely simple and secure way of making your overdue ICICI Bank loan payments online through your bank's Debit Card.
"
Is “Click To Pay – Debit Card” secure?,"Yes, it is secure through 128 bits SSL.
"
How are payments processed?,"Your payments are processed immediately after you have authorised the transaction from your Debit Card. If your payment is successful, you will be informed that your payment has been accepted and a payment transaction number will be displayed with a successful transaction note.If your payment is unsuccessful, you will be informed that your transaction was unsuccessful.
"
Can I make payments against foreclosures and advance Equated Monthly Installment/Pre Equated Monthly Installment?,"No. You can make payments only against Advance Equated Monthly Installment and Pre Equated Monthly Installment which are overdue.
"
How will I know that the payment is made successfully?,"Post every successful transaction; you will get a success message along with a valid transaction ID. However, sometimes the transaction is successful but a transaction number cannot be displayed due to power cuts, connection failures, etc., In such cases you are advised to check your bank account credit balance to know whether the transaction has happened. You should report about it to ICICI Bank if your loan number is not credited within 3 working days from the date of the actual transaction.
"
Is there any limit on the size of a payment I can make?,"Yes, it should be less than or equal to the Amount Payable displayed on the transaction screen.
"
What if the payment is not credited even after three days?,"Please contact our 24-hour Customer Care and register a complaint after providing all the transaction details
"
Do I need to register with ICICI Bank for “Click To Pay – Debit Card” to make payments?,"No.
"
Who can make a payment using “Click To Pay – Debit Card” service?,"Only ICICI Bank loan, card customers who have missed their regular EMI/PEMI and their asset is neither surrendered by them nor repossessed by ICICI Bank due to any reason, can make a payment using the “Click To Pay – Debit Card” service.
"
Can I make a payment when I am outside India?,"You can make payments from anywhere in the world, provided you have an Indian (domestic) Debit Card.
"
How can I access the information that I have made the payments?,"Any payments made will be reflected in your loan account statement within 3 working days.
"
Is there any charge for using “Click To Pay – Debit Card”?,"No.
"
What are the benefits of “Click To Pay – Debit Card”?,"Your overdue payments are made quickly and conveniently. You no longer have to write cheques, visit a branch and wait in a queue for your turn, to make payments.
"
How can I prove that I have made a payment?,"You can track your payments from your bank statement if you need to provide proof of payment. Your bank statement will show the charge to your account from the billing vendor, with a transaction number similar to the “Click To Pay – Debit Card” transaction number.In addition to the above, you will get a valid transaction number post your successful transaction. This can be used to track and resolve your queries and disputes.
"
Do I need to take permission from my bank for making a payment through “Click To Pay – Debit Card”?,"No, you need not take permission if you have a valid card type which is accepted by us i.e. (VISA).
"
Can I make a payment towards someone else’s overdue loan using Debit card?,"Yes, you can make a payment of an overdue loan on behalf of your family members and friends from your Debit Card.
"
Can I make a payment against overdue and bounce charges using Debit card?,"No. Presently you are advised to visit any RAPG-Asset branch and make the payment.
"
When can I check my ICICI Bank loan statement to know my payment status using Debit Card?,"After 3 working days.
"
Will I receive any physical bill for loan payments made through “Click To Pay – Debit Card” service?,"You will get a transaction number online on the screen, upon the successful completion of your transaction. You may write it down on a paper or take its printout.
"
What if I made an excess payment in two different transactions for the same loan number?,"The excess payment will be available in your credit balance and the refund for it can be obtained through any of our Retail Asset branches by making a written application or you may call our 24-hour Customer Care and register a complaint.
"
Can I make my overdue payments through “Click To Pay – Debit Card” if my asset is surrendered or repossessed?,"No. In that case you are advised to visit any ICICI Bank, RAPG – Asset branch to make payments.
"
Can I make a payment more than the overdue amount as shown in the statement?,"No. You can make a payment less than or equal to the overdue amount displayed on the screen.
"
Is the exact overdue amount shown on the screen in real time?,"No. The data gets refreshed every week and uploaded once a month. Therefore the overdue amount shown as of the last week. To know your exact overdue amount, you are advised to call our 24-hour Customer Care.
"
What if I make an not-error while entering my loan number and make a payment to somebody else’s loan number?,"There are certain checks available to avoid payment against wrong loan numbers. These checks are as follows:
Even if you have made a payment to a wrong loan number, you need to call our 24-hour Customer Care and register a complaint. You will be guided accordingly.
The loan number needs to be 16-digit alphanumeric character in nature.
The loan number needs to be entered twice.
Once the loan number is entered, the amount of EMI and/or PEMI along with your EMI/PEMI cycle day will be displayed and one can validate through it.
"
What is Click to Pay?,"If you wish to make a payment online through your Non-ICICI Bank Savings Account to your ICICI Bank Credit Card or ICICI Bank Loan Payments, you can use the 'Click to Pay' option available on our website.
You can make the payment using Internet Banking or debit card of other bank towards ICICI Bank Credit Card or Loan outstanding.
To know more about Click to Pay and the procedure for making payment, please visit www.icicibank.com > Internet Banking (at the bottom of the page) > Services Offered > More > Click to Pay.
"
How are payments processed?,"Your payments are processed immediately after you have authorised the transaction from your Debit Card. If your payment is successful, you will be informed that your payment has been accepted and a payment transaction number will be displayed with a successful transaction note.If your payment is unsuccessful, you will be informed that your transaction was unsuccessful.
"
Can I make payments against foreclosures and advance Equated Monthly Installment/Pre Equated Monthly Installment?,"No. You can make payments only against Advance Equated Monthly Installment and Pre Equated Monthly Installment which are overdue.
"
How will I know that the payment is made successfully?,"Post every successful transaction; you will get a success message along with a valid transaction ID. However, sometimes the transaction is successful but a transaction number cannot be displayed due to power cuts, connection failures, etc., In such cases you are advised to check your bank account credit balance to know whether the transaction has happened. You should report about it to ICICI Bank if your loan number is not credited within 3 working days from the date of the actual transaction.
"
Is there any limit on the size of a payment I can make?,"Yes, it should be less than or equal to the Amount Payable displayed on the transaction screen.
"
How do I make a payment through “Click To Pay – Loans”?,"You can make an online payment through your other bank’s Internet banking account in the following 4 simple steps:
Browse ICICI Bank website and click on the “Click To Pay – Loans” link.
Select your bank’s name from the dropdown.
Type your loan number and validate.
Pay your overdue payments from your bank’s Internet login.
"
What if the payment is not credited even after three days?,"Please contact our 24-hour Customer Care and register a complaint after providing all the transaction details
"
When can I check my ICICI Bank loan statement to know my payment status using Internet Banking?,"After 3 working days.
"
What is “Click To Pay – Loans” service?,"""Click To Pay - Loans” is an extremely simple and secure way of paying your overdue ICICI Bank loans online from your other bank’s account.
"
Can I make a payment more than the Amount Payable shown in the statement?,"No. You can make a payment less than or equal to the Amount Payable displayed on the screen.
"
How can I access the information that I have made the payments?,"Any payments made will be reflected in your loan account statement within 3 working days.
"
Can I make a payment towards someone else’s overdue loan using Internet Banking?,"Yes, you can make a payment of an overdue loan on behalf of your family members and friends from your online account.
"
Is “Click To Pay – Loans” secure?,"Yes, it is secure through 128 bits SSL.
"
Who can make a payment using “Click To Pay – Loans” service?.,"Only ICICI Bank loan customers who have missed their regular EMI/PEMI and their asset is neither surrendered by them nor repossessed by ICICI Bank due to any reason can make a payment using “Click To Pay – Loans” service.
"
Is there any charge for using “Click To Pay – Loans?,"No.
"
Is the exact overdue amount shown on the screen in real time?,"Yes. The amount payable is shown on screen is real time.
"
What if I made an excess payment in two different transactions for the same loan number?,"The excess payment will be available in your credit balance and the refund for the same can be obtained through any of our RAPG – Asset branches by making a written application or you need to call our 24-hour Customer Care and register a complaint.
"
Can I make a payment when I am outside India using Internet Banking?,"You can make payments from anywhere in the world, provided you have an Internet connection and can connect to the ICICI Bank website.
"
Can I make my overdue payments through “Click To Pay – Loans” if my asset is surrendered or repossessed?,"No. In that case you are advised to visit any ICICI Bank, RAPG – Asset Branch to make payments.
"
Can I make a payment against overdue and bounce charges using Internet Banking?,"Yes, the amount payable displayed on transaction screen includes overdue and bounce charges along with EMI/ PEMI arrears
"
Do I need to take permission from my bank for making a payment through “Click To Pay – Loans”?,"No, if the name of your bank is available in the “Click To Pay – Loans” dropdown for online payments, then your bank is already open for “Click To Pay – Loans” transactions.
"
How can I prove that I have made a payment using Internet Banking?,"You can track your payments from your bank statement if you need to provide proof of payment. Your bank statement will show the charge to your account from the billing vendor with a transaction number similar to the “Click To Pay – Loans” transaction number.In addition to the above, you will get a valid transaction number post your successful transaction. The same can be used to track and resolve your queries and disputes.
"
What are the benefits of “Click To Pay – Loans”?,"Your overdue payments are made quickly and conveniently. You no longer have to write cheques, visit a branch and wait in a queue for your turn, to make payments.
"
Do I need to register with ICICI Bank for “Click To Pay – Loans” to make payments from the account of the other bank?,"No.
"
Will I receive any paper bill for “Click To Pay – Loan” payments?,"You will get a transaction number online on the screen upon the successful completion of your transaction which you may write down on a paper or take its printout.
"
What if I made an error while entering my loan number and made a payment to somebody else’s loan number?,"There are certain checks available to avoid payment against wrong loan numbers. These checks are as follows:
Even if you have made a payment to a wrong loan number, you need to call our 24-hour Customer Care and register a complaint. You will be guided accordingly.
The loan number needs to be 16-digit alphanumeric character in nature.
The loan number needs to be entered twice.
Once the loan number is entered, Amount Payable will be displayed and one can validate through it.
"
What is NEFT?,"National Electronic Funds Transfer (NEFT) is a nation-wide payment system facilitating one-to-one funds transfer. Under this Scheme, individuals can electronically transfer funds from any bank branch to any individual having an account with any other bank branch in the country participating in the Scheme.
Use NEFT service to transfer funds anywhere using the following modes:

Internet Banking
iMobile
m.dot
Pockets
icicibankpay
"
How can I send money using fund transfer?,"NEFT/RTGS
IMPS
UPI
"
How can I see a payment made to a particular payee?,
